,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,scenario,policy,model
226,88,209.2463608557067,10.0,0.1836488241116587,347.10681677733345,1.0,0.6747141569171516,295.7643202566172,1.0,0.3901786621306085,114.62411516285408,10.0,0.4408025243123987,266.41832186196734,1.5,0.8926093646654422,1.5,6370,policy 1,dikesnet
227,117,305.7837988672562,10.0,0.2557182257639454,198.94523547509436,1.5,0.1284373244117405,115.39793716665288,10.0,0.2706344890285507,170.30336722756857,10.0,0.6713381892186203,175.19225369848994,10.0,0.4871826003979209,1.5,6371,policy 1,dikesnet
242,97,247.1016132741297,1.0,0.3227594319534497,196.51062156649303,1.0,0.2698036469372525,340.4046228924951,1.0,0.2623412925275641,152.2500645143645,10.0,0.7342867919556191,60.93061171449768,10.0,0.0235815392503384,1.5,6386,policy 1,dikesnet
244,25,140.54961027601885,1.5,0.0422450251874042,332.9367335411677,1.0,0.5009126518019822,323.1976397394658,1.0,0.7787159544957194,129.16112322124093,1.0,0.8385689218365002,191.94755666461504,1.5,0.732845528601953,1.5,6388,policy 1,dikesnet
247,11,329.3452820037003,10.0,0.0805348571368166,113.03165985245144,10.0,0.9187225879791416,220.9620095274392,1.0,0.1888498719174875,96.45150058795434,10.0,0.721044426774352,235.3612009474377,1.0,0.0182331908809427,2.5,6391,policy 1,dikesnet
250,59,84.64534322406593,10.0,0.2522980041454515,320.0397781915232,1.0,0.0665728593997957,38.272078987678384,10.0,0.4941491649502068,306.36669824312014,1.0,0.5449819757613459,285.5975906271888,1.0,0.6265134352724336,1.5,6394,policy 1,dikesnet
252,1,173.67888497622178,1.0,0.0352175898166924,290.3725223869238,1.5,0.931409850848294,170.3203278639569,1.5,0.8226694111913161,226.971763345008,1.0,0.20720528666299,138.85438047946838,1.5,0.7644450387239364,1.5,6396,policy 1,dikesnet
255,37,112.80454358714904,10.0,0.1477447434237203,156.48440096213506,10.0,0.1478811278839381,69.08588289143651,10.0,0.5373783974993472,307.3320256605728,10.0,0.3407325399516764,295.57992044535206,10.0,0.068083900149992,1.5,6399,policy 1,dikesnet
259,52,224.62695471038663,10.0,0.2392237550244795,177.4183242916302,1.0,0.2020969484891995,245.70039125524795,1.5,0.7887125011065629,265.8882731579673,1.0,0.4959316788654073,345.2216581432122,10.0,0.5342887346954337,1.5,6403,policy 1,dikesnet
261,106,290.30428564173786,1.0,0.07450634218316,101.15222876529788,10.0,0.499571559024679,345.6016521020387,10.0,0.4771698969183637,196.0662342811132,10.0,0.4368855267377637,30.654927952233432,1.0,0.7438164893067696,1.5,6405,policy 1,dikesnet
