,policy,A.1_Expected Annual Damage,A.2_Expected Annual Damage,A.3_Expected Annual Damage,A.4_Expected Annual Damage,A.5_Expected Annual Damage
25716,5682,145847049.39004058,0.0,0.0,1196558.3917468037,0.0
25717,5682,1345325606.6102428,0.0,0.0,0.0,0.0
25718,5682,9186984.72333134,0.0,0.0,0.0,98499691.70820686
25719,5682,1344816381.1321068,0.0,0.0,0.0,0.0
25720,5682,998746719.7540084,0.0,0.0,0.0,0.0
25721,5682,22171272.271858104,0.0,0.0,0.0,0.0
25722,5682,113113529.980014,0.0,0.0,972412.7020584624,0.0
25723,5682,146317857.76132524,0.0,0.0,0.0,0.0
25724,5682,19444134.804837234,1739180.361249388,0.0,0.0,0.0
25725,5682,998906928.029332,89278508.15912578,0.0,0.0,0.0
25726,5682,70744359.86604929,0.0,0.0,0.0,0.0
25727,5682,53114051.1928139,14495743.274030022,0.0,0.0,0.0
25728,5682,998757233.1047158,0.0,0.0,0.0,0.0
25729,5682,52980748.873042285,33236510.463850956,0.0,0.0,0.0
25730,5682,509067037.330539,0.0,0.0,0.0,0.0
25731,5682,113884815.96929738,0.0,0.0,45195912.45330484,0.0
25732,5682,1345347293.7166035,80599033.00291504,0.0,0.0,0.0
25733,5682,204006745.9525316,0.0,0.0,0.0,0.0
25734,5682,1345766225.5757594,0.0,0.0,0.0,0.0
25735,5682,999230653.188175,0.0,0.0,1335343.280815018,0.0
25736,5682,20010595.586397693,0.0,0.0,6293300.964797044,0.0
25737,5682,1345581122.7370434,0.0,0.0,0.0,0.0
25738,5682,522858212.6661866,0.0,0.0,0.0,0.0
25739,5682,20095535.720592,0.0,0.0,0.0,0.0
25740,5682,1196656978.5417788,0.0,0.0,0.0,0.0
25741,5682,13969838.74982376,0.0,0.0,0.0,0.0
25742,5682,71648331.2459305,0.0,0.0,3552691.185858316,0.0
25743,5682,523296821.4263851,0.0,0.0,0.0,0.0
25744,5682,1345325242.230306,0.0,0.0,0.0,0.0
25745,5682,998367397.1446756,23643106.69267078,0.0,0.0,0.0
25746,5682,30494274.332458664,0.0,0.0,0.0,0.0
25747,5682,999545444.024006,0.0,0.0,0.0,0.0
25748,5682,35144849.7730249,0.0,0.0,2176675.459372173,0.0
25749,5682,134748866.19430518,0.0,0.0,0.0,0.0
25750,5682,522441593.5785755,0.0,0.0,2304296.8107564934,0.0
25751,5682,684128868.8576107,1720282.173371962,0.0,1507622.2425027315,0.0
25752,5682,999145509.8671768,0.0,0.0,0.0,0.0
25753,5682,53361689.084297,5938933.159537247,0.0,0.0,0.0
